,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,track_name,artist_name
9146,0.633,0.10400000000000001,4.0,-16.632,1.0,0.034,0.871,4.52e-06,0.11199999999999999,0.22399999999999998,127.93299999999999,242053.0,4.0,52,Speed Trap Town,Jason Isbell
9147,0.424,0.603,1.0,-6.832000000000001,1.0,0.0495,0.514,1.84e-06,0.23800000000000002,0.258,155.319,230013.0,4.0,54,Polaroid,Imagine Dragons
9148,0.591,0.415,6.0,-6.936,1.0,0.0437,0.424,0.000299,0.111,0.19699999999999998,90.48299999999999,201072.0,4.0,52,Wasn't Expecting That,Jamie Lawson
9149,0.522,0.996,10.0,-4.316,0.0,0.18600000000000003,0.00011599999999999999,1.05e-05,0.252,0.138,96.477,187561.0,4.0,53,We All Float Down Here,Four Year Strong
9150,0.539,0.9490000000000001,8.0,-6.345,1.0,0.0839,1.63e-05,0.165,0.0811,0.20800000000000002,144.945,228120.0,4.0,54,The River,Wage War
9151,0.56,0.836,5.0,-4.022,0.0,0.0821,0.2,1.06e-06,0.314,0.38,127.64299999999999,199619.0,4.0,53,Russian Roulette,Tungevaag
9152,0.7170000000000001,0.634,1.0,-6.8870000000000005,1.0,0.409,0.301,0.0,0.396,0.564,143.812,275507.0,4.0,53,In the Bag,Mac Miller
9153,0.505,0.622,10.0,-8.372,1.0,0.0322,0.0809,0.000789,0.212,0.193,85.994,297432.0,4.0,56,Tech Noir,Gunship
9154,0.68,0.5710000000000001,8.0,-7.053999999999999,1.0,0.222,0.37799999999999995,0.0,0.10300000000000001,0.0911,145.02100000000002,203573.0,4.0,55,Bad for You (feat. Nicki Minaj),Meek Mill
9155,0.667,0.6779999999999999,6.0,-4.97,1.0,0.0254,0.12,0.35700000000000004,0.152,0.446,100.007,217995.0,4.0,55,Woman Woman,AWOLNATION
9156,0.6859999999999999,0.848,4.0,-4.149,1.0,0.0386,0.043,0.00221,0.462,0.33799999999999997,127.976,200673.0,4.0,61,Candyland,Tobu
9157,0.654,0.7490000000000001,1.0,-5.382999999999999,0.0,0.0257,0.00195,0.0,0.0956,0.774,108.00399999999999,169827.0,4.0,52,Real Life,Jake Owen
9158,0.7120000000000001,0.217,7.0,-12.944,1.0,0.0813,0.846,5.610000000000001e-05,0.265,0.46799999999999997,136.986,231448.0,4.0,55,Distance,Emily King
9159,0.504,0.83,11.0,-3.383,0.0,0.125,0.00581,0.0,0.18100000000000002,0.39899999999999997,102.978,228680.0,4.0,52,I'm Yours,Alessia Cara
9160,0.8320000000000001,0.743,1.0,-6.706,1.0,0.228,0.0596,0.0,0.257,0.522,100.00399999999999,170707.0,4.0,53,Cut the Check (feat. Chief Keef),Mac Miller
9161,0.49200000000000005,0.932,2.0,-2.401,1.0,0.204,0.007109999999999999,0.0,0.177,0.635,151.16899999999998,195947.0,4.0,56,American Beauty/American Psycho,Fall Out Boy
9162,0.63,0.8420000000000001,1.0,-5.636,0.0,0.316,0.0009539999999999999,0.0,0.36200000000000004,0.634,84.94200000000001,191869.0,4.0,54,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),"Tyler, The Creator"
9163,0.42700000000000005,0.586,0.0,-5.325,1.0,0.0286,0.321,0.0,0.0818,0.509,178.05900000000003,295280.0,4.0,65,Querida,Juan Gabriel
9164,0.633,0.856,1.0,-4.934,0.0,0.0736,0.00375,0.0,0.136,0.825,128.013,210480.0,4.0,51,This Is Living,Hillsong Young & Free
9165,0.478,0.40299999999999997,4.0,-7.87,0.0,0.0302,0.64,0.00156,0.0943,0.389,170.93,176053.0,3.0,54,Daisy Mae,Leon Bridges
9166,0.664,0.821,7.0,-6.1339999999999995,0.0,0.0698,0.0904,6.7e-06,0.134,0.36200000000000004,165.977,173493.0,4.0,53,Upgrade,Logic
9167,0.584,0.508,9.0,-6.68,0.0,0.0617,0.078,0.0,0.24600000000000002,0.18600000000000003,169.975,255184.0,3.0,53,Speed,Kali Uchis
9168,0.434,0.10400000000000001,7.0,-14.517999999999999,1.0,0.0341,0.823,4.47e-05,0.113,0.139,181.019,182240.0,3.0,53,Naruto Themed Sexting,Panucci's Pizza
9169,0.5710000000000001,0.499,11.0,-5.515,1.0,0.40399999999999997,0.5539999999999999,0.0,0.0908,0.755,126.434,224267.0,4.0,51,Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity,The Barden Bellas
9170,0.377,0.267,2.0,-13.29,1.0,0.0354,0.941,0.000155,0.0881,0.345,152.207,211805.0,4.0,55,Fly - Acoustic,Meadowlark
9171,0.575,0.604,7.0,-7.223,1.0,0.0452,0.015,0.0,0.0725,0.517,74.97399999999999,218787.0,4.0,52,It's Not Over Yet,for KING & COUNTRY
9172,0.65,0.6859999999999999,4.0,-5.1979999999999995,0.0,0.0314,0.514,0.000188,0.138,0.49700000000000005,124.023,176147.0,4.0,51,Sarah - Bonus Track,(Sandy) Alex G
9173,0.5820000000000001,0.564,0.0,-4.066,0.0,0.0837,0.0959,0.0,0.26,0.718,204.002,196900.0,4.0,55,About You,Trey Songz
9174,0.58,0.653,4.0,-6.051,1.0,0.0275,0.131,4.6500000000000005e-05,0.11599999999999999,0.23199999999999998,94.021,205560.0,4.0,54,What If I Stay,Chris Young
9175,0.7140000000000001,0.812,7.0,-2.7030000000000003,1.0,0.0351,0.0018899999999999998,1.96e-06,0.22899999999999998,0.377,112.01799999999999,189882.0,4.0,62,Up & Down,EXID
9176,0.556,0.618,10.0,-7.471,0.0,0.0463,0.00558,0.00035099999999999997,0.153,0.121,80.985,286573.0,4.0,54,coffee,Miguel
9177,0.501,0.991,7.0,-1.7309999999999999,1.0,0.0996,2.46e-05,0.0,0.107,0.222,110.001,189858.0,3.0,55,Mikasa,Veil Of Maya
9178,0.63,0.56,11.0,-6.737,0.0,0.259,0.0474,0.0,0.429,0.6709999999999999,111.92,240133.0,4.0,53,Come Thru,Jacquees
9179,0.465,0.0869,0.0,-18.802,1.0,0.0454,0.8420000000000001,0.177,0.111,0.188,179.61,301779.0,3.0,60,My Simple Thing,Peter Sandberg
9180,0.7070000000000001,0.43200000000000005,7.0,-9.748,0.0,0.0324,0.15,0.007640000000000001,0.0894,0.233,129.116,230883.0,4.0,51,Rock and Roll,Cody Jinks
9181,0.505,0.7,4.0,-6.585,1.0,0.0415,0.0916,4.8e-06,0.0908,0.321,162.107,206648.0,4.0,52,You Are Loved,Stars Go Dim
9182,0.509,0.276,0.0,-10.405999999999999,1.0,0.0301,0.203,0.0,0.15,0.138,109.70700000000001,287080.0,4.0,53,"Psalm 23 (Surely Goodness, Surely Mercy)",Shane & Shane
9183,0.382,0.777,11.0,-4.343,0.0,0.0538,0.115,0.3,0.0984,0.534,154.41,201613.0,4.0,50,Future People,Alabama Shakes
9184,0.62,0.721,1.0,-6.176,0.0,0.0429,0.0018899999999999998,0.0,0.155,0.28600000000000003,169.919,200000.0,4.0,52,Ballin',PnB Rock
9185,0.616,0.985,11.0,-1.598,1.0,0.0832,0.000273,0.000145,0.111,0.48700000000000004,109.979,230613.0,4.0,52,Gimme Chocolate!!,BABYMETAL
9186,0.797,0.371,5.0,-7.712999999999999,0.0,0.278,0.41600000000000004,0.0,0.134,0.284,115.046,190093.0,4.0,52,Hollyhood,Kodak Black
9187,0.655,0.653,4.0,-7.4879999999999995,1.0,0.0278,0.502,0.75,0.0781,0.732,114.995,187820.0,4.0,55,We're Not Just Friends,"Parks, Squares and Alleys"
9188,0.8859999999999999,0.511,1.0,-4.691,0.0,0.0972,0.531,0.0501,0.11199999999999999,0.261,127.898,173840.0,4.0,54,Pass Dat,Jeremih
9189,0.5820000000000001,0.619,3.0,-7.8660000000000005,1.0,0.0942,0.0479,0.9009999999999999,0.115,0.503,80.009,144000.0,4.0,53,Vibe,MELVV
